name,slug,brand,price,salePrice,currency,sku,upc,asin,gtin,shortDescription,longDescription,availability,status,category,universe,tags,benefits,pros,cons,perfectFor,imageUrl,affiliateUrl,affiliateNetwork,commissionRate,seoTitle,metaDescription,variantSkus,variantColors,variantSizes,variantMaterials,variantPriceAdjustments
"Linen Duvet Cover — Oat","linen-duvet-cover-oat","Ferm Living",248,198,USD,"SKU-LINEN-001","840123456789","B0ABCD1234","0840123456789","Stonewashed European linen duvet cover","Made from the finest French flax, this duvet cover has been stonewashed for immediate softness. The generous cut and hidden button closure make it feel like something passed down, even on the first night.",IN_STOCK,PUBLISHED,"Bedding",SANCTUARY,"linen,bedding,eco-friendly","Stonewashed for instant softness|Gets better with every wash|Breathable year-round","Exceptional quality|Beautiful drape|Easy care","Requires air drying|Premium price point","Natural material lovers|Warm sleepers|Forever bed builders","https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=1200","https://example.com/ferm-linen-oat","IMPACT",8.5,"Linen Duvet Cover — Oat | ALAYA INSIDER","Discover the stonewashed linen duvet cover from Ferm Living","VLINEN-OAT-Q|VLINEN-OAT-K|VLINEN-OAT-TK","Oat|Oat|Oat","Queen|King|Twin XL","100% European Flax|100% European Flax|100% European Flax","0|10|-15"
"Irish Wool Throw Blanket — Sage","wool-throw-blanket-sage","Skagerak",165,139,USD,"SKU-WOOL-002","840987654321","B0DCBA5678","0840987654321","Heavyweight merino wool throw in sage","Woven in Scotland from the softest merino, this throw has the perfect weight for draping over shoulders or the end of a bed. The subtle herringbone pattern adds quiet texture.",IN_STOCK,PUBLISHED,"Throws",SANCTUARY,"wool,throw,cozy,merino","Perfect weight for all seasons|Soft against skin|Herringbone texture","Machine washable|Timeless design|Sage color versatile","Dry flat recommended|Sheds slightly initially","Cozy home lovers|Those who appreciate texture|Living room styling","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1200","https://example.com/skagerak-wool","CJ",10.0,"Wool Throw Blanket — Sage | ALAYA","Heavyweight merino wool throw in soft sage","VWOOL-SAGE-STD","Sage","Standard","Merino Wool","0"
"Italian Cashmere Crewneck","italian-cashmere-crewneck","August The Label",395,0,USD,"SKU-CASH-003","840246813579","B0EFGH5678","0840246813579","Luxurious Italian cashmere crewneck sweater","Crafted from the finest Italian-spun cashmere, this crewneck is the definition of quiet luxury. The ribbed cuffs and hem ensure a perfect fit that holds its shape wear after wear.",LOW_STOCK,PUBLISHED,"Clothing",SIGNATURE_STYLE,"cashmere,sweater,italian,luxury","Italian-spun cashmere|Ribbed cuffs hold shape|Pilling-resistant finish","True to size|Versatile neutral tone|Easy to layer","Dry clean recommended|Premium investment piece","Those who invest in quality|Capsule wardrobe builders|Luxury basics","https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1200","https://example.com/august-cashmere","IMPACT",12.0,"Italian Cashmere Crewneck | ALAYA INSIDER","Italian-spun cashmere crewneck sweater","VCASH-S-XS|VCASH-S-S|VCASH-S-M|VCASH-S-L|VCASH-S-XL","Camel|Camel|Camel|Camel|Camel","XS|S|M|L|XL","Italian Cashmere|Italian Cashmere|Italian Cashmere|Italian Cashmere|Italian Cashmere","-20|-10|0|10|20"
"Mulberry Silk Sleep Mask","mulberry-silk-sleep-mask","Meraki",45,0,USD,"SKU-SILK-004","840135792468","B0IJKL9012","0840135792468","22-momme mulberry silk sleep mask","Indulge in the ultimate sleep experience with our 22-momme mulberry silk sleep mask. The adjustable strap ensures a perfect fit without pressure on your eyes, while the silk lining prevents creases.",IN_STOCK,PUBLISHED,"Wellness",RITUAL_RESET,"silk,sleep,wellness,self-care","22-momme mulberry silk|Adjustable no-pressure strap|Prevents sleep creases","Blocks all light|Breathable|Travel-friendly","Hand wash recommended|Higher price than standard masks","Frequent travelers|Skincare enthusiasts|Light-sensitive sleepers","https://images.unsplash.com/photo-1611523658822-385aa4d765b2?w=1200","https://example.com/meraki-silk-mask","AMAZON",6.5,"Mulberry Silk Sleep Mask | ALAYA INSIDER","22-momme mulberry silk sleep mask","","","","",""
"Cast Iron Skillet 10-Inch","cast-iron-skillet-10","The Citizenry",89,69,USD,"SKU-CAST-005","840864209753","B0MNOP3456","0840864209753","Pre-seasoned 10-inch cast iron skillet","A kitchen heirloom in the making. This 10-inch cast iron skillet comes pre-seasoned with organic flaxseed oil and is ready to cook your first meal. From searing to baking, it does it all.",IN_STOCK,PUBLISHED,"Kitchen",CULINARY_STUDIO,"cast iron,kitchen,cooking,skillet","Pre-seasoned with flaxseed oil|Oven safe to 500F|Heirloom quality","Versatile cooking|Even heat distribution|Durable forever","Heavy to handle|Requires seasoning maintenance","Home cooks|Outdoor cooking enthusiasts|Kitchen minimalists","https://images.unsplash.com/photo-1590794056226-79ef3a8147e1?w=1200","https://example.com/citizenry-skillet","SHAREASALE",7.0,"Cast Iron Skillet 10"" | ALAYA INSIDER","Pre-seasoned 10-inch cast iron skillet","","","","",""
"Ceramic Vase — Matte Taupe","ceramic-vase-matte-taupe","HAY",68,0,USD,"SKU-CERA-006","840579312468","B0QRST7890","0840579312468","Hand-thrown ceramic vase in matte taupe","Each vase is individually hand-thrown by artisans in Portugal. The matte taupe glaze creates a subtle, organic texture that complements any floral arrangement. Slight variations make each piece unique.",IN_STOCK,PUBLISHED,"Decor",CONNECTED_LIVING,"ceramic,vase,decor,handmade,artisan","Hand-thrown by Portuguese artisans|Matte taupe glaze|Unique variations per piece","Perfect for any decor style|Holds water well|Statement piece","Fragile|Price reflects artisan craft","Flower enthusiasts|Interior design lovers|Unique gift seekers","https://images.unsplash.com/photo-1581783898377-1c85bf937427?w=1200","https://example.com/hay-vase","AMAZON",5.0,"Ceramic Vase Matte Taupe | ALAYA INSIDER","Hand-thrown ceramic vase in matte taupe","","","","",""
"Bamboo Cutting Board Set","bamboo-cutting-board-set","Meraki",38,0,USD,"SKU-BAMB-007","840468123579","B0UVWX1234","0840468123579","Set of 3 organic bamboo cutting boards","Crafted from sustainably harvested organic bamboo, this set of 3 cutting boards offers a board for every task. The included stand keeps your counter organized while the bamboo fights bacteria naturally.",IN_STOCK,DRAFT,"Kitchen",CULINARY_STUDIO,"bamboo,cutting board,kitchen,sustainable","Sustainably harvested|Set of 3 sizes|Includes storage stand","Naturally antibacterial|Knife-friendly|Eco-friendly","Not dishwasher safe|May show knife marks over time","Eco-conscious cooks|Small kitchen owners|Meal preppers","https://images.unsplash.com/photo-1594226801341-41427b4e5c11?w=1200","https://example.com/meraki-bamboo","BRAND_DIRECT",5.0,"Bamboo Cutting Board Set | ALAYA INSIDER","Organic bamboo cutting board set","","","","",""
"Hand-Thrown Pottery Mug","hand-thrown-pottery-mug","HAY",24,0,USD,"SKU-MUG-008","840753864201","B0YZAB5678","0840753864201","Stoneware mug with reactive glaze","Each mug is individually wheel-thrown, resulting in a unique piece that fits perfectly in your hands. The reactive glaze creates depth and movement, making every morning coffee feel intentional.",PREORDER,PUBLISHED,"Kitchen",RITUAL_RESET,"pottery,mug,ceramic,handmade,morning ritual","Wheel-thrown individually|Reactive glaze finish|Perfect ergonomic fit","Unique piece|Holds heat well|Beautiful patina over time","Hand wash recommended|Price per single mug","Morning ritual enthusiasts|Ceramic collectors|Intentional living","https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=1200","https://example.com/hay-mug","IMPACT",6.0,"","","","","","",""
"Organic Cotton Bathrobe","organic-cotton-bathrobe","August The Label",185,0,USD,"SKU-ROBE-009","840321654987","B0BCDE9012","0840321654987","Long organic Turkish cotton bathrobe","Wrapped in the luxurious weight of long-staple organic Turkish cotton, this bathrobe is designed for slow mornings and long evenings. The generous cut wraps you in comfort while the shawl collar adds a touch of refinement.",OUT_OF_STOCK,DRAFT,"Wellness",RITUAL_RESET,"bathrobe,cotton,organic,turkish,bath","Long-staple Turkish cotton|Organic certified|Shawl collar design","Hotel-quality weight|Gets softer with each wash|Generous cut","Takes time to dry|Requires fluffing after wash","Spa lovers|Luxury bath enthusiasts|Weekend relaxers","https://images.unsplash.com/photo-1522771739017-7c7e4f1e6d8f?w=1200","https://example.com/august-bathrobe","CJ",8.0,"Organic Cotton Bathrobe | ALAYA INSIDER","Organic Turkish cotton bathrobe","VROBE-S|VROBE-M|VROBE-L","White|White|White","S|M|L","Turkish Cotton|Turkish Cotton|Turkish Cotton","-10|0|15"
"Marble Serving Board — Large","marble-serving-board-large","Ferm Living",68,0,USD,"SKU-MARB-010","840192837465","B0FGHI3456","0840192837465","Large Carrara marble serving board","A stunning slab of authentic Carrara marble, hand-finished and polished to a subtle sheen. Perfect for cheese service, charcuterie, or as a statement piece on your kitchen island.",IN_STOCK,PUBLISHED,"Kitchen",WANDER_EDIT,"marble,serving board,entertaining,kitchen","Authentic Carrara marble|Hand-finished|Natural veining","Stunning presentation|Naturally cool surface|Heirloom quality","Heavy|Requires sealing|Can stain with certain foods","Entertainers|Cheese lovers|Kitchen aesthetic enthusiasts","https://images.unsplash.com/photo-1593541017076-d3425b1aeac8?w=1200","https://example.com/ferm-marble-board","AMAZON",4.5,"","","","","","",""
